x,y,h3_address,neighbours,neighbours_centroids,caslt_cnt,dth_dnv_cnt,se_dnv_cnt,sl_dnv_cnt,wnd_dnv_cnt,caslt_cnt_1,dth_dnv_cnt_1,se_dnv_cnt_1,sl_dnv_cnt_1,wnd_dnv_cnt_1,caslt_cnt_2,dth_dnv_cnt_2,se_dnv_cnt_2,sl_dnv_cnt_2,wnd_dnv_cnt_2,caslt_cnt_3,dth_dnv_cnt_3,se_dnv_cnt_3,sl_dnv_cnt_3,wnd_dnv_cnt_3,caslt_cnt_4,dth_dnv_cnt_4,se_dnv_cnt_4,sl_dnv_cnt_4,wnd_dnv_cnt_4,caslt_cnt_5,dth_dnv_cnt_5,se_dnv_cnt_5,sl_dnv_cnt_5,wnd_dnv_cnt_5,caslt_cnt_6,dth_dnv_cnt_6,se_dnv_cnt_6,sl_dnv_cnt_6,wnd_dnv_cnt_6,bus_station_cnt,traffic_cnt,pleasure_cnt,seoul_police_cnt,park_cnt,crossroad_cnt,도로10이하_cnt,도로10_20_cnt,도로20_30_cnt,도로30이상_cnt,child_cnt,silver_cnt,crosswalk_cnt,prediction
126.9887599027,37.5692319052,8930e1d8c2fffff,"['8930e1d8c23ffff', '8930e1d8c2bffff', '8930e1d8893ffff', '8930e1d8d5bffff', '8930e1d8c2fffff', '8930e1d8897ffff', '8930e1d8c27ffff']","[(37.56963623082069, 126.98707217591237), (37.56681246831171, 126.9868394680874), (37.565077945558905, 126.98931697159898), (37.56899102295065, 126.99226033610307), (37.56790174738499, 126.98954978972945), (37.56616714312793, 126.9920273867794), (37.570725587891545, 126.98978262874023)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,24,20,3,2,2,57,0,1,0,4,0,0,0,0,2,6,0.27364471066661544
127.0506690932,37.6047955523,8930e1c0683ffff,"['8930e1c068fffff', '8930e1c0697ffff', '8930e1c0687ffff', '8930e1c068bffff', '8930e1c0683ffff', '8930e1c0693ffff', '8930e1c069bffff']","[(37.60425693412139, 127.05289281959921), (37.60881888477095, 127.05064844924165), (37.60708272128414, 127.05312876609007), (37.60316742764037, 127.05017679847832), (37.60599313694633, 127.05041261327443), (37.607729218745995, 127.0479323899177), (37.604903548779134, 127.0476966856379)]",0,0,0,0,0,9,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,3,0,0,0,0,0,0,1,3,0,0,1,1,9,0,0,0,0,2,1,0.26407831776402524
127.0493331724,37.605678885,8930e1c0683ffff,"['8930e1c068fffff', '8930e1c0697ffff', '8930e1c0687ffff', '8930e1c068bffff', '8930e1c0683ffff', '8930e1c0693ffff', '8930e1c069bffff']","[(37.60425693412139, 127.05289281959921), (37.60881888477095, 127.05064844924165), (37.60708272128414, 127.05312876609007), (37.60316742764037, 127.05017679847832), (37.60599313694633, 127.05041261327443), (37.607729218745995, 127.0479323899177), (37.604903548779134, 127.0476966856379)]",0,0,0,0,0,9,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,3,0,0,0,0,0,0,1,3,0,0,1,1,9,0,0,0,0,2,1,0.26407831776402524
126.9295549146,37.4872398106,8930e1d935bffff,"['8930e1d935bffff', '8930e1d9227ffff', '8930e1d934bffff', '8930e1d922fffff', '8930e036c97ffff', '8930e1d9353ffff', '8930e1d9343ffff']","[(37.48685662214877, 126.93055619553147), (37.48859030140395, 126.92808276476161), (37.485122822416415, 126.93302960981195), (37.48576891690552, 126.92785310886201), (37.48403519849675, 126.93032642967783), (37.4896780848417, 126.93078598195711), (37.48794432426198, 126.93325950619902)]",0,0,0,0,0,9,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,2,7,74,0,0,1,6,0,0,0,1,0,2,0.2625860500314403
127.0050789259,37.5748547483,8930e1d8d2bffff,"['8930e1d8d2fffff', '8930e1d8d3bffff', '8930e1d8993ffff', '8930e1d8d23ffff', '8930e1d8d67ffff', '8930e1d8d2bffff', '8930e1d8d77ffff']","[(37.57552660193588, 127.0085283345939), (37.576172320284314, 127.00333826446847), (37.57270225424547, 127.00829459769282), (37.57726165607689, 127.0060500660426), (37.57161307797094, 127.00558283391021), (37.57443734769678, 127.00581643949864), (37.573348089869775, 127.00310476922981)]",4,0,1,3,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,17,30,3,0,4,10,0,0,0,4,1,9,0.2623788816808279
126.9577748742,37.543044909,8930e1d8303ffff,"['8930e1d830bffff', '8930e1d831bffff', '8930e1d8303ffff', '8930e1d8317ffff', '8930e1d830fffff', '8930e1d8313ffff', '8930e1d8307ffff']","[(37.53898240791244, 126.95836066154918), (37.540716231157255, 126.95588473820531), (37.541805157586644, 126.95859193419744), (37.54462794605446, 126.95882322757433), (37.54007125293076, 126.96106795108766), (37.543538941547226, 126.95611590067782), (37.54289408068187, 126.96129935464764)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,1,8,0,0,0,3,2,2,0.26226143589058726
127.0050296941,37.5703273791,8930e1d8d67ffff,"['8930e1d8993ffff', '8930e1d8d63ffff', '8930e1d899bffff', '8930e1d8d6fffff', '8930e1d8d67ffff', '8930e1d8d2bffff', '8930e1d8d77ffff']","[(37.57270225424547, 127.00829459769282), (37.57052389811387, 127.00287129493417), (37.56987794521797, 127.00806088175705), (37.5687888469124, 127.00534924927462), (37.57161307797094, 127.00558283391021), (37.57443734769678, 127.00581643949864), (37.573348089869775, 127.00310476922981)]",5,0,3,2,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,4,18,66,3,1,3,8,0,0,0,3,0,10,0.2609085618494241
126.8859174384,37.4833134555,8930e0acb6bffff,"['8930e0acb63ffff', '8930e0acb6bffff', '8930e0acb6fffff', '8930e0acb7bffff', '8930e0364b7ffff', '8930e0365d3ffff', '8930e0364a7ffff']","[(37.485286600433874, 126.88599989955831), (37.48246627238614, 126.88577222753713), (37.48355441725712, 126.88847238355744), (37.48419837436972, 126.88329983711475), (37.4813781245841, 126.88307229534496), (37.48073404999708, 126.88824460165176), (37.479645983387286, 126.88554457589024)]",9,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,28,13,0,0,3,5,0,0,0,4,0,16,0.26050906585199957
127.0703731327,37.5495884346,8930e1c1317ffff,"['8930e1c13bbffff', '8930e1c1317ffff', '8930e1c13abffff', '8930e1c1303ffff', '8930e1c1307ffff', '8930e1c138fffff', '8930e1c1313ffff']","[(37.553627152274515, 127.06965699175933), (37.55080159230519, 127.06942045853113), (37.55188935087122, 127.07213560874821), (37.54797607111617, 127.06918394652196), (37.549063751772906, 127.07189896515462), (37.55253931197169, 127.06694193482743), (37.54971382991266, 127.06670553317636)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,0,0,2,9,0,1,0,5,1,4,0.25620987963268727
127.0703008746,37.5517690794,8930e1c1317ffff,"['8930e1c13bbffff', '8930e1c1317ffff', '8930e1c13abffff', '8930e1c1303ffff', '8930e1c1307ffff', '8930e1c138fffff', '8930e1c1313ffff']","[(37.553627152274515, 127.06965699175933), (37.55080159230519, 127.06942045853113), (37.55188935087122, 127.07213560874821), (37.54797607111617, 127.06918394652196), (37.549063751772906, 127.07189896515462), (37.55253931197169, 127.06694193482743), (37.54971382991266, 127.06670553317636)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,0,0,2,9,0,1,0,5,1,4,0.25620987963268727
