gu,Unnamed: 1,doro,Unnamed: 3,Unnamed: 4,X,Y
종로구,종로노인종합복지관,율곡로19길 17-8,2009.0,,127.0074998,37.5768947
종로구,종로노인종합복지관 무악센터,통일로14길 30,2016.0,,126.9579031,37.5759267
종로구,서울노인복지센터,삼일대로 467,2016.0,,126.9883056,37.5696533
종로구,락희거리,삼일대로 428,2017.0,,126.9883056,37.5696533
종로구,종묘광장공원 동순라길,인의동,2018.0,,126.9971,37.57236
중구,신당6동 노인복지관,퇴계로80길 52,2008.0,,127.0177278,37.563682
중구,신일경로당,청구로 121,2017.0,,127.0105213,37.5616793
중구,묵정경로당,퇴계로45길 32-12,2010.0,,127.0001465,37.5636335
중구,필동경로당,필동로 11,2019.0,,126.9964457,37.560768
중구,장수경로당,동호로11다길 18,2019.0,,127.0074197,37.5522017
중구,동호경로당,동호로8길 42-22,2019.0,,127.0142786,37.5530145
중구,충현경로당,동호로17나길 9,2019.0,,127.0057102,37.5545195
중구,신당5동경로당,다산로42길 53,2019.0,,127.0167673,37.5648684
용산구,시립용산노인종합복지관,독서당로11길 16,2008.0,,127.0068924,37.5300822
용산구,송학당경로당,효창원로37라길 11,2016.0,,126.9589077,37.537738
용산구,구립한남노인요양원,독서당로 103,2017.0,,127.0077012,37.5311476
용산구,효창공원,효창동,2018.0,,126.96037,37.54341
용산구,원효로경로당,원효로41가길 14-19,2019.0,,126.9564286,37.5345809
성동구,시립성동노인종합복지관,마조로 77,2007.0,,127.0405708,37.5596957
성동구,시립동부노인전문요양센터,마장로23길 12,2010.0,,127.03277144126059,37.5676646
성동구,성동치매지원센터,왕십리로5길 3,2016.0,,127.0441746,37.5465932
성동구,왕십리제일경로당,왕십리로33가길 16,2017.0,,127.0273156,37.5645641
성동구,대한노인회성삼경로당,광나루로2길 35,2018.0,,127.0531862,37.5501992
광진구,광진노인종합복지관,군자로 88,2009.0,,127.070199,37.5465314
광진구,국가유공자경로당,아차산로 630,2016.0,,127.1043841,37.5451366
광진구,대원경로당,긴고랑로36길 57-27,2016.0,,127.0921098,37.5578487
광진구,구의경로당,광나루로40길 6,2018.0,,127.0892067,37.5429773
광진구,중곡1동 제2경로당,긴고랑로8길 51,2019.0,,127.078102,37.561565
동대문,동대문노인종합복지관,제기로33길 25,2008.0,,127.0498107,37.5871144
동대문,중산경로당,답십리로48길 54,2010.0,,127.0577213,37.5683314
동대문,행복마을경로당,고산자로56길 53,2016.0,,127.0386706,37.5898348
동대문,대한노인회 동대문구지회,사가정로 98,2017.0,,127.0676567,37.578602
동대문,장평경로당,한천로28길 27,2018.0,,127.0678314,37.5733612
동대문,경동노인요양원,약령시로 122-5,2018.0,,127.0425456,37.5834167
동대문,은천노인종합복지센터,장한로27가길 53,2020.0,,127.0711987,37.5753264
동대문,시립동대문실버케어센터,황물로 12,2022.0,,127.0451,37.5754
중랑구,시립중랑노인종합복지관,겸재로9길 45,2008.0,,127.0782736,37.5878403
