"x","y","h3_address","neighbours","neighbours_centroids","caslt_cnt","dth_dnv_cnt","se_dnv_cnt","sl_dnv_cnt","wnd_dnv_cnt","caslt_cnt_1","dth_dnv_cnt_1","se_dnv_cnt_1","sl_dnv_cnt_1","wnd_dnv_cnt_1","caslt_cnt_2","dth_dnv_cnt_2","se_dnv_cnt_2","sl_dnv_cnt_2","wnd_dnv_cnt_2","caslt_cnt_3","dth_dnv_cnt_3","se_dnv_cnt_3","sl_dnv_cnt_3","wnd_dnv_cnt_3","caslt_cnt_4","dth_dnv_cnt_4","se_dnv_cnt_4","sl_dnv_cnt_4","wnd_dnv_cnt_4","caslt_cnt_5","dth_dnv_cnt_5","se_dnv_cnt_5","sl_dnv_cnt_5","wnd_dnv_cnt_5","caslt_cnt_6","dth_dnv_cnt_6","se_dnv_cnt_6","sl_dnv_cnt_6","wnd_dnv_cnt_6","bus_station_cnt","traffic_cnt","pleasure_cnt","seoul_police_cnt","park_cnt","crossroad_cnt","도로10이하_cnt","도로10_20_cnt","도로20_30_cnt","도로30이상_cnt","child_cnt","silver_cnt","crosswalk_cnt","t_caslt_cnt","t_dth_dnv_cnt","t_se_dnv_cnt","t_sl_dnv_cnt","t_wnd_dnv_cnt","EPDO","pred_EPDO","diff"
127.0376342573,37.6590018935,"8930e1c2087ffff","['8930e1c2083ffff', '8930e1c2087ffff', '8930e1c20b3ffff', '8930e1c254bffff', '8930e1c20bbffff', '8930e1c208fffff', '8930e1c2097ffff']","[(37.65770327217053, 127.03634348552806), (37.658794517798164, 127.03906082798859), (37.65988575956377, 127.04177839595296), (37.66162060481452, 127.03929631779049), (37.65705963302072, 127.04154279546631), (37.6559684690516, 127.03882535934173), (37.66052928138942, 127.03657884349754)]",3,0,3,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,3,0,0,0,8,1,3,1,0,1,0,0,6,4.58515600106484,-1.41484399893516
127.0184481592,37.5671285339,"8930e1d8907ffff","['8930e1d8933ffff', '8930e1d8917ffff', '8930e1d893bffff', '8930e1d8903ffff', '8930e1d8907ffff', '8930e1d890fffff', '8930e1d89abffff']","[(37.566849518220415, 127.02091942445661), (37.56749624873488, 127.01572897116854), (37.564024974123505, 127.02068513580568), (37.564671821860564, 127.01549492420497), (37.565760671854534, 127.01820706192784), (37.5629362057173, 127.01797290462642), (37.56858517668953, 127.01844124023359)]",8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,10,20,2,0,2,3,0,0,0,6,2,4,2,0,2,0,0,12,5.1438643511074,-6.8561356488926
126.8132605199,37.5669715099,"8930e0aec87ffff","['8930e0a534bffff', '8930e0aecb3ffff', '8930e0aecbbffff', '8930e0aec83ffff', '8930e0aec87ffff', '8930e0aec8fffff', '8930e0aec97ffff']","[(37.56993728055407, 126.81181308546773), (37.568209266629495, 126.81428728101821), (37.56538969362022, 126.81406268550015), (37.566026224932386, 126.80889014317334), (37.56711774715111, 126.81158860001176), (37.56429825238451, 126.81136413465919), (37.56884568009175, 126.80911449847125)]",0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,1,0,0,7,4,0,0,0,3,1,14,1,0,1,0,0,6,13.9973933498837,7.99739334988366
126.9578371944,37.4763990214,"8930e036d63ffff","['8930e036d77ffff', '8930e036d6fffff', '8930e036d6bffff', '8930e036d7bffff', '8930e036d67ffff', '8930e036d73ffff', '8930e036d63ffff']","[(37.47906600547466, 126.95868695130177), (37.47450898765873, 126.96092945551257), (37.47342202422759, 126.9582248561377), (37.47515695046718, 126.95575138736287), (37.4773310369035, 126.9611606234029), (37.477978882468506, 126.95598231464396), (37.47624399530231, 126.95845589337624)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,3,13,1,0,0,3,2,0,0,0,1,3,4,1,0,0,0,0,0,7.22356743245893,7.22356743245893
127.0513504722,37.5707421649,"8930e1c154bffff","['8930e1c154fffff', '8930e1c1543ffff', '8930e1c1097ffff', '8930e1c1087ffff', '8930e1c10b3ffff', '8930e1c154bffff', '8930e1c155bffff']","[(37.57143906513129, 127.05277777970183), (37.57317582101734, 127.05029880550795), (37.56926192519002, 127.0473486712322), (37.56752521176134, 127.0498274416373), (37.56861370193705, 127.05254197678893), (37.57035049704709, 127.05006311299925), (37.572087171250786, 127.04758423219735)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,2,0,1,3,3,0,0,0,2,0,15,0,0,0,0,0,0,6.37143740673984,6.37143740673984
127.0330548673,37.6487292095,"8930e1c20cbffff","['8930e1c20cbffff', '8930e1c20c3ffff', '8930e1c2627ffff', '8930e1c2637ffff', '8930e1c20dbffff', '8930e1c2053ffff', '8930e1c20cfffff']","[(37.64813445817065, 127.03292081685176), (37.650960274711366, 127.033155979628), (37.64530867994794, 127.03268567519682), (37.64704343831075, 127.03020432065298), (37.64986917702996, 127.03043935167469), (37.64639961816843, 127.03540226504585), (37.64922547421168, 127.03563753846275)]",0,0,0,0,0,3,1,2,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,5,2,3,4,0,0,0,0,6,0,0,0,2,0,1,3,1,2,1,0,27,4.63694967672642,-22.3630503232736
127.1488862466,37.4988295447,"8930e1cf22fffff","['8930e1cf35bffff', '8930e1cf227ffff', '8930e1cf223ffff', '8930e1cd497ffff', '8930e1cf22fffff', '8930e1cd493ffff', '8930e1cf22bffff']","[(37.49904278489613, 127.15168247386327), (37.500784414070566, 127.1492042980248), (37.499699114960585, 127.1464861298579), (37.496215899748016, 127.15144227831382), (37.49795756774887, 127.1489642127727), (37.49513076047331, 127.14872414905406), (37.496872346512454, 127.14624617642927)]",0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,8,0,5,3,0,2,4,0,0,0,1,6,0,0,0,8,2,2,2,0,1,1,0,9,8.56388720251521,-0.436112797484785
127.03787174,37.5663792016,"8930e1c1463ffff","['8930e1c1477ffff', '8930e1c1463ffff', '8930e1c146fffff', '8930e1c1473ffff', '8930e1c1467ffff', '8930e1c146bffff', '8930e1c147bffff']","[(37.56882119941589, 127.0394418618403), (37.56599618711577, 127.03920669538627), (37.5642597186829, 127.0416851856126), (37.56773253467055, 127.03672818819369), (37.567084770210954, 127.04192046244147), (37.563171213517684, 127.03897155002858), (37.56490760030138, 127.03649315320344)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,1,0,3,9,0,0,0,2,1,0,0,0,3,0,4,1,1,1,0,0,18,2.44006263708116,-15.5599373629188
127.0129202329,37.4832592972,"8930e1cb577ffff","['8930e1cb52bffff', '8930e1cb53bffff', '8930e1cb50fffff', '8930e1cb567ffff', '8930e1cb577ffff', '8930e1cb573ffff', '8930e1cb563ffff']","[(37.48321658787439, 127.01660854633533), (37.48495350198149, 127.01413357499605), (37.48386691821578, 127.01142501650988), (37.48039313256925, 127.01637475588838), (37.482130085676054, 127.0138998946099), (37.48104357999619, 127.01119146710971), (37.4793067084558, 127.01366623515625)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,0,0,0,3,0,0,1,1,3,2,0,0,0,0,0,0,5.41607997436209,5.41607997436209
126.9547899836,37.6000840672,"8930e1da8c3ffff","['8930e1da8cbffff', '8930e1da8dbffff', '8930e1da8d3ffff', '8930e1da8c3ffff', '8930e1da8c7ffff', '8930e1da8cfffff', '8930e1da8d7ffff']","[(37.59782013623306, 126.95532428413006), (37.59955284896617, 126.95284621582188), (37.60237617563105, 126.9530774413321), (37.60064350237643, 126.95555562000814), (37.60173415237568, 126.95826524904285), (37.59891070823527, 126.95803378203732), (37.60346690703931, 126.95578697663844)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,1,4,0,0,0,3,1,0,0,0,0,0,0,0,4.65665048030696,4.65665048030696
